year,avg_temp,max_temp,min_temp,humidity,precipitation,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,agri_land_sqkm,co2_transport_mt,fert_consumption_kg_ha
1950,11.24,15.71,6.66,74.93,88.27,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,35530.0,0.0631,0.0825027685492802
1951,11.21,15.84,6.53,74.99,91.14,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,35530.0,0.0631,0.0825027685492802
1952,10.84,15.23,6.42,78.17,74.8,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,35530.0,0.0631,0.0825027685492802
1953,10.9,15.38,6.42,77.45,102.32,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,35530.0,0.0631,0.0825027685492802
1954,11.48,16.24,6.71,70.61,125.67,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,35530.0,0.0631,0.0825027685492802
1955,11.68,16.68,6.73,67.32,114.46,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,35530.0,0.0631,0.0825027685492802
1956,11.7,16.6,6.88,70.5,73.81,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,35530.0,0.0631,0.0825027685492802
1957,11.73,16.89,6.54,67.5,101.2,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,35530.0,0.0631,0.0825027685492802
1958,12.74,17.61,7.56,69.5,130.61,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,35530.0,0.0631,0.0825027685492802
1959,12.35,17.12,7.51,71.08,70.84,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,35530.0,0.0631,0.0825027685492802
1960,12.48,17.71,7.18,67.65,101.05,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,35530.0,0.0631,0.0825027685492802
1961,11.65,16.31,6.79,72.02,95.06,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,35530.0,0.0631,0.0825027685492802
1962,11.68,16.38,6.68,72.58,123.5,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,35530.0,0.0631,0.238648947951274
1963,11.69,16.92,6.72,70.99,125.2,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,35630.0,0.0631,0.347466960352423
1964,12.35,17.79,6.79,65.65,107.51,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,35530.0,0.0631,0.565891472868217
1965,11.53,16.73,6.03,67.07,93.41,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,35530.0,0.0631,0.6140642303433
1966,12.11,17.3,6.68,67.04,114.18,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,35530.0,0.0631,1.88261351052049
1967,11.65,16.46,6.4,69.38,107.92,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,35670.0,0.0631,1.456844420011
1968,11.51,16.08,6.69,71.09,93.23,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,35670.0,0.0631,1.68719076415613
1969,12.13,16.76,7.33,70.94,79.03,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,35670.0,0.0631,2.47663551401869
1970,12.33,16.93,7.6,71.07,113.06,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,37020.0,0.0631,2.74398361495136
1971,11.76,16.13,7.28,73.98,78.11,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,37020.0,0.0631,4.07987711213518
1972,12.19,17.09,7.05,69.23,97.05,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,38220.0,0.0631,5.16593673965937
1973,12.25,17.08,7.15,71.22,114.5,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,39530.0,0.0663,5.71501154734411
1974,12.21,17.33,6.7,69.99,94.46,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,39940.0,0.0601,5.82385321100917
1975,12.29,17.29,6.88,69.24,82.03,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,40090.0,0.0699,5.58542141230068
1976,12.33,17.58,6.83,69.92,70.18,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,40250.0,0.0826,6.7316742081448
1977,12.54,17.65,7.2,70.98,83.29,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,40400.0,0.089,7.85033707865169
1978,12.05,17.19,6.76,71.57,134.29,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,40550.0,0.0954,8.278125
1979,12.48,17.51,6.68,68.88,96.61,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,40700.0,0.1147,9.29223946784922
1980,12.42,17.82,6.78,70.19,64.96,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,40850.0,0.1591,9.89383259911894
1981,11.75,16.96,6.33,72.14,96.48,45.143214898989896,41.28915202020202,142.59930042016808,130.30884946524066,507.84240867346944,463.3721257884972,105.72803221500722,106.12394006875476,108.29592755102041,41030.0,0.1486,10.4125874125874
