date,adm2_id,ADM2_PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
#date,#adm2+id,#adm2+code,#indicator+n_pixels+num,#indicator+rfh+num,#indicator+rfh_avg+num,#indicator+r1h+num,#indicator+r1h_avg+num,#indicator+r3h+num,#indicator+r3h_avg+num,#indicator+rfq+pct,#indicator+r1q+pct,#indicator+r3q+pct,#status
1/1/1981,1008019,NP0556404,108,5.787,5.9633,,,,,98.3925,,,final
1/11/1981,1008019,NP0556404,108,5.0093,6.8435,,,,,84.5125,,,final
1/21/1981,1008019,NP0556404,108,23.9259,5.8015,34.7222,18.6083,,,267.7944,156.3259,,final
2/1/1981,1008019,NP0556404,108,4.6296,9.0784,33.5648,21.7235,,,68.4001,137.3268,,final
2/11/1981,1008019,NP0556404,108,1.9815,12.3892,30.537,27.2691,,,40.1484,108.7684,,final
2/21/1981,1008019,NP0556404,108,3.3611,6.7972,9.9722,28.2648,,,70.8736,52.1947,,final
3/1/1981,1008019,NP0556404,108,5.3889,8.5074,10.7315,27.6938,,,76.9125,54.9997,,final
3/11/1981,1008019,NP0556404,108,13.3796,8.6719,22.1296,23.9765,,,134.4335,94.5642,,final
3/21/1981,1008019,NP0556404,108,7.9444,9.641,26.713,26.8204,71.4074,73.6935,88.412,99.7083,97.2685,final
